Time (m),Time (s),Differential Reading (raw),Voltage (mV),Measured Voltage (V),Torque (in-lb),Torque (N·m)
0,0,0,0.00,0.000000,0.00,0.00
0,1,0,0.00,0.000000,0.00,0.00
0,2,0,0.00,0.000000,0.00,0.00
0,3,0,0.00,0.000000,0.00,0.00
0,5,0,0.00,0.000000,0.00,0.00
0,6,0,0.00,0.000000,0.00,0.00
0,7,0,0.00,0.000000,0.00,0.00
0,8,4,0.75,0.000750,15.00,1.69
0,9,32,6.00,0.006000,120.00,13.56
0,10,11,2.06,0.002062,41.25,4.66
0,11,32,6.00,0.006000,120.00,13.56
0,12,10,1.88,0.001875,37.50,4.24
0,14,4,0.75,0.000750,15.00,1.69
0,15,32,6.00,0.006000,120.00,13.56
0,16,2,0.37,0.000375,7.50,0.85
0,17,0,0.00,0.000000,0.00,0.00
0,18,0,0.00,0.000000,0.00,0.00
0,19,0,0.00,0.000000,0.00,0.00
0,20,0,0.00,0.000000,0.00,0.00
0,21,0,0.00,0.000000,0.00,0.00
0,22,0,0.00,0.000000,0.00,0.00
0,24,0,0.00,0.000000,0.00,0.00
0,25,0,0.00,0.000000,0.00,0.00
0,26,0,0.00,0.000000,0.00,0.00
0,27,0,0.00,0.000000,0.00,0.00
0,28,0,0.00,0.000000,0.00,0.00
0,29,0,0.00,0.000000,0.00,0.00
0,30,0,0.00,0.000000,0.00,0.00
0,31,0,0.00,0.000000,0.00,0.00
0,33,0,0.00,0.000000,0.00,0.00
0,34,0,0.00,0.000000,0.00,0.00
0,35,12,2.25,0.002250,45.00,5.09
0,36,32,6.00,0.006000,120.00,13.56
0,37,19,3.56,0.003563,71.25,8.05
0,38,31,5.81,0.005813,116.25,13.14
0,39,7,1.31,0.001312,26.25,2.97
0,40,4,0.75,0.000750,15.00,1.69
0,41,3,0.56,0.000563,11.25,1.27
0,43,37,6.94,0.006938,138.75,15.68
0,44,4,0.75,0.000750,15.00,1.69
0,45,3,0.56,0.000563,11.25,1.27
0,46,3,0.56,0.000563,11.25,1.27
0,47,3,0.56,0.000563,11.25,1.27
0,48,35,6.56,0.006563,131.25,14.83
0,49,1,0.19,0.000188,3.75,0.42
0,50,1,0.19,0.000188,3.75,0.42
0,52,2,0.37,0.000375,7.50,0.85
0,53,31,5.81,0.005813,116.25,13.14
0,54,26,4.88,0.004875,97.50,11.02
0,55,22,4.13,0.004125,82.50,9.32
0,56,23,4.31,0.004313,86.25,9.75
0,57,28,5.25,0.005250,105.00,11.86
0,58,22,4.13,0.004125,82.50,9.32
0,59,24,4.50,0.004500,90.00,10.17
1,1,25,4.69,0.004688,93.75,10.59
1,2,15,2.81,0.002813,56.25,6.36
1,3,16,3.00,0.003000,60.00,6.78
1,4,32,6.00,0.006000,120.00,13.56
1,5,25,4.69,0.004688,93.75,10.59
1,6,23,4.31,0.004313,86.25,9.75
1,7,23,4.31,0.004313,86.25,9.75
1,8,14,2.63,0.002625,52.50,5.93
1,9,1,0.19,0.000188,3.75,0.42
1,11,0,0.00,0.000000,0.00,0.00
1,12,0,0.00,0.000000,0.00,0.00
1,13,0,0.00,0.000000,0.00,0.00
1,14,0,0.00,0.000000,0.00,0.00
1,15,0,0.00,0.000000,0.00,0.00
1,16,0,0.00,0.000000,0.00,0.00
1,17,0,0.00,0.000000,0.00,0.00
1,18,0,0.00,0.000000,0.00,0.00
1,20,11,2.06,0.002062,41.25,4.66
1,21,24,4.50,0.004500,90.00,10.17
1,22,23,4.31,0.004313,86.25,9.75
1,23,7,1.31,0.001312,26.25,2.97
1,24,0,0.00,0.000000,0.00,0.00
1,25,0,0.00,0.000000,0.00,0.00
1,26,0,0.00,0.000000,0.00,0.00
1,27,0,0.00,0.000000,0.00,0.00
1,28,0,0.00,0.000000,0.00,0.00
1,30,0,0.00,0.000000,0.00,0.00
1,31,0,0.00,0.000000,0.00,0.00
1,32,0,0.00,0.000000,0.00,0.00
1,33,0,0.00,0.000000,0.00,0.00
1,34,0,0.00,0.000000,0.00,0.00
1,35,0,0.00,0.000000,0.00,0.00
1,36,0,0.00,0.000000,0.00,0.00
1,37,0,0.00,0.000000,0.00,0.00
1,39,0,0.00,0.000000,0.00,0.00
1,40,0,0.00,0.000000,0.00,0.00
1,41,0,0.00,0.000000,0.00,0.00
1,42,0,0.00,0.000000,0.00,0.00
1,43,0,0.00,0.000000,0.00,0.00
1,44,0,0.00,0.000000,0.00,0.00
1,45,0,0.00,0.000000,0.00,0.00
1,46,0,0.00,0.000000,0.00,0.00
1,47,0,0.00,0.000000,0.00,0.00
1,49,3,0.56,0.000563,11.25,1.27
1,50,3,0.56,0.000563,11.25,1.27
1,51,6,1.12,0.001125,22.50,2.54
1,52,5,0.94,0.000938,18.75,2.12
1,53,13,2.44,0.002437,48.75,5.51
1,54,13,2.44,0.002437,48.75,5.51
1,55,17,3.19,0.003187,63.75,7.20
1,56,10,1.88,0.001875,37.50,4.24
1,58,0,0.00,0.000000,0.00,0.00
1,59,0,0.00,0.000000,0.00,0.00
2,0,0,0.00,0.000000,0.00,0.00
2,1,0,0.00,0.000000,0.00,0.00
2,2,0,0.00,0.000000,0.00,0.00
2,3,0,0.00,0.000000,0.00,0.00
2,4,0,0.00,0.000000,0.00,0.00
2,5,0,0.00,0.000000,0.00,0.00
2,7,0,0.00,0.000000,0.00,0.00
2,8,0,0.00,0.000000,0.00,0.00
2,9,0,0.00,0.000000,0.00,0.00
2,10,0,0.00,0.000000,0.00,0.00
2,11,0,0.00,0.000000,0.00,0.00
2,12,0,0.00,0.000000,0.00,0.00
2,13,0,0.00,0.000000,0.00,0.00
2,14,0,0.00,0.000000,0.00,0.00
